,Item,Reg_Price,Sale_Price,Size,Unit_Size,Image,Category,Subcategory
29,Thomas' Bagel Thins Everything - 8 ct,$4.49 ,,13 oz pkg, | $0.35 / oz,./Bread_Bakery_Bagels_files/ILQSR.jpg,Bread_Bakery,Bagels
30,The Bake Shop Bagels Egg,$1.69 ,,4 ct pkg, | $0.42 / ea,./Bread_Bakery_Bagels_files/SPLJ5.jpg,Bread_Bakery,Bagels
31,The Bake Shop Bagels Onion,$1.69 ,,4 ct pkg, | $0.42 / ea,./Bread_Bakery_Bagels_files/N0QQL.jpg,Bread_Bakery,Bagels
32,Thomas' Bagels 100% Whole Wheat - 6 ct,$4.69 ,,20 oz pkg, | $0.23 / oz,./Bread_Bakery_Bagels_files/V8YYZ.jpg,Bread_Bakery,Bagels
33,The Bake Shop Bagels Blueberry,$1.69 ,,4 ct pkg, | $0.42 / ea,./Bread_Bakery_Bagels_files/7VTRD.jpg,Bread_Bakery,Bagels
34,Thomas' Nooks & Crannies Bagels Plain - 4 ct,$4.69 ,,10.5 oz pkg, | $0.45 / oz,./Bread_Bakery_Bagels_files/1GO1U.jpg,Bread_Bakery,Bagels
35,The Bake Shop Bagels Poppy,$1.69 ,,4 ct pkg, | $0.42 / ea,./Bread_Bakery_Bagels_files/F62TD.jpg,Bread_Bakery,Bagels
36,Dave's Killer Bread Bagels Plain Awesome Organic - 5 ct,$5.29 ,,16.7 oz pkg, | $0.32 / oz,./Bread_Bakery_Bagels_files/75I9S.jpg,Bread_Bakery,Bagels
37,The Bake Shop Bagels Marble,$1.69 ,,4 ct pkg, | $0.42 / ea,./Bread_Bakery_Bagels_files/TR742.jpg,Bread_Bakery,Bagels
38,Pepperidge Farm Plain Mini Bagels Pre-Sliced - 12 ct,$4.49 ,,17 oz pkg, | $0.26 / oz,./Bread_Bakery_Bagels_files/T7ARG.jpg,Bread_Bakery,Bagels
39,Dave's Killer Bread Bagels Cinnamon Raisin Remix Organic - 5 ct,$5.29 ,,16.7 oz pkg, | $0.32 / oz,./Bread_Bakery_Bagels_files/973OU.jpg,Bread_Bakery,Bagels
40,The Bake Shop Bagel Chunks Assorted,$1.49 ,,16 oz pkg, | $0.09 / oz,./Bread_Bakery_Bagels_files/YVISA.jpg,Bread_Bakery,Bagels
41,Bantam Bagels Mini Bagels Stuffed with Cream Cheese,$5.19 ,,7.8 oz pkg, | $0.67 / oz,./Bread_Bakery_Bagels_files/ZEUDI.jpg,Bread_Bakery,Bagels
42,Stop & Shop Bread White Round Top,$0.99 ,,16 oz pkg, | $0.06 / oz,./Bread_Bakery_Packaged_Bread_files/AFJ34.jpg,Bread_Bakery,Packaged_Bread
43,Stop & Shop Bread 100% Whole Wheat,$1.99 ,,16 oz pkg, | $0.12 / oz,./Bread_Bakery_Packaged_Bread_files/VNX57.jpg,Bread_Bakery,Packaged_Bread
