mCode,mTitle,mUPC,mBrand,mIngredients,mNutrients,mPhoto,CurrUPC,ProductName,BrandName,ProductDesc,ProductScore,Subcatecory,Category
200,"Donettes, Mini Donuts, Double Chocolate",8.88109E+11,Hostess,"Enriched Wheat Flour (Flour, Barley Malt, Reduced Iron, B Vitamins [Niacin, Thiamine Mononitrate {B1}, Riboflavin {B2}, Folic Acid]), Sugar, Water, Palm Shortening, High Fructose Corn Syrup, Partially Hydrogenated Oil (Palm Kernel, Coconut, Palm), Soybean Oil, glycerine. Contains 2% or Less of: Cocoa Processed with Alkali, Nonfat Milk, Leavenings (Baking Soda, Sodium Acid Pyrophosphate, Sodium Aluminum Phosphate), Soy Flour, Egg Yolks, Cocoa, Natural and Artificial Flavor, Salt, Soy Lecithin, Modified Wheat Starch, Dextrose, Distilled Monoglycerides, Mono and Diglycerides, Whey, Tapioca Dextrin, Corn Dextrin, Guar Gum, Karaya Gum, Extracts of Annatto and Turmeric (Color), Potassium Sorbate, Sodium Propionate and Sorbic Acid (to Retain Freshness), Enzymes, Calcium Sulfate, Cellulose Gum, Xanthan Gum.","220 cal, 13 total fat, 9 saturated fat, 5 cholesterol, 160 sodium, 24 carbs, 1 fiber, 2 protein",https://d1r9wva3zcpswd.cloudfront.net/58884d51681cfca97f37e339.jpeg,8.88109E+11,Donuts,Hostess,Donettes Frosted Devil's Food Mini Donuts,0,Pastries,Desserts
200,Cooking Stock beef,51000214454,Swanson,"beef stock, yeast extract, salt, natural flavoring, honey, onion juice concentrate, tomato paste, beef fat, carrots, cabbage, beef extract, onions, celery, celery leaves, parsley.","20 cal, 0 total fat, 0 saturated fat, 0 cholesterol, 500 sodium, 2 carbs, 0 fiber, 3 protein",https://d1r9wva3zcpswd.cloudfront.net/53ea1d3d8853dec858fa2336.jpeg,51000214454,Cooking Stock,Swanson,Beef Cooking Stock,23,Soups & Broths,Prepared meals
404,NA,NA,NA,NA,NA,NA,3400003078,Chocolate,York,"Chocolate, Dark, Covered Peppermint Patties",6,"Cookies, Candy, & Chocolate",Desserts
200,"Peas, Green",11110897367,Kroger,"Green Peas, Salt.","70 cal, 0 total fat, 0 saturated fat, 0 cholesterol, 0 sodium, 12 carbs, 4 fiber, 5 protein",https://d2eawub7utcl6.cloudfront.net/images/nix-apple-grey.png,11110897367,Green Peas,Kroger,Green Peas,90,Frozen,Produce
200,"Ground Beef, Extra Lean",72322553229,Shady Brook Farms,Lean Ground Beef.,"130 cal, 1.5 total fat, 0 saturated fat, 70 cholesterol, 65 sodium, 0 carbs, None fiber, 27 protein",https://d1r9wva3zcpswd.cloudfront.net/54de5d537d804f5d6b0bdfe6.jpeg,72322553229,Ground Turkey,Shady Brook Farms,Fresh 99% Lean,85,Chicken & Poultry,Meats
404,NA,NA,NA,NA,NA,NA,88810901001,Cupcakes,Hostess,"Cupcakes, Creamy Filling",0,Pastries,Desserts
200,Double Chocolate Muffins,11110606112,Bakery Fresh Goodness,"SUGAR, ENRICHED WHEAT FLOUR (WHEAT FLOUR, MALTED BARLEY FLOUR, FERROUS SULFATE, NIACIN, THIAMINE MONONITRATE, RIBOFLAVIN, FOLIC ACID), EGGS, WATER, SOYBEAN OIL, CHOCOLATE CHIPS (SUGAR, CHOCOLATE LIQUOR, COCOA BUTTER, SOY LECITHIN, GROUND VANILLA BEANS), COCOA PROCESSED WITH ALKALI, VEGETABLE SHORTENING (PARTIALLY HYDROGENATED SOYBEAN OIL, MONO- AND DIGLYCERIDES, SOY LECITHIN), MODIFIED CORN STARCH. CONTAINS LESS THAN 2% OF: WHEAT GLUTEN, SALT, NONFAT MILK, MONO- AND DIGLYCERIDES, LEAVENING (BAKING SODA, SODIUM ALUMINUM PHOSPHATE, MONOCALCIUM PHOSPHATE), ARTIFICIAL FLAVOR, CELLULOSE GUM. TOPPING: CHOCOLATE CHIPS (SUGAR, CHOCOLATE LIQUOR, ANHYDROUS DEXTROSE, COCOA BUTTER, SOY LECITHIN, VANILLA EXTRACT)","480 cal, 26 total fat, 9 saturated fat, 85 cholesterol, 360 sodium, 56 carbs, 3 fiber, 7 protein",https://d1r9wva3zcpswd.cloudfront.net/5514257f6e73df6a1edb6e5b.jpeg,11110606112,Muffins,Bakery Fresh Goodness,Double Chocolate Chip Muffins,0,Pastries,Desserts
200,"Special K Cereal, Chocolatey Delight",38000786693,Special K,"Rice, Whole Grain Wheat, Sugar, Chocolatey Chunks (Sugar, Partially Hydrogenated Palm Kernel Oil, Cocoa Processed with Alkali, Cocoa, Soy Lecithin, Artificial Flavor, Milk), Wheat Bran, Contains 2% or Less of Salt, Soluble Wheat Fiber, Brown Sugar Syrup, Natural and Artificial Flavor, Malt Flavoring, BHT for Freshness. Vitamins and Minerals: Vitamin C (Ascorbic Acid), Reduced Iron, Niacinamide, Vitamin B6 (Pyridoxine Hydrochloride), Vitamin B2 (Riboflavin), Vitamin B1 (Thiamin Hydrochloride), Vitamin A Palmitate, Folic Acid, Vitamin D, Vitamin B12.","170 cal, 3.5 total fat, 3 saturated fat, 0 cholesterol, 240 sodium, 34 carbs, 3 fiber, 3 protein",https://d1r9wva3zcpswd.cloudfront.net/536abb0d21f62f01209be1a4.jpeg,38000786693,Cereal,Special K,"Cereal, Chocolatey Delight",77,Bread Products,Grains
200,"Pizza Sauce, Parlor Style",11110712950,Kroger,"Tomato Puree (Water, Tomato Paste), Soybean Oil, Salt, Spices, Parsley (Dehydrated), Natural Garlic Flavor, Citric Acid.","30 cal, 1 total fat, 0 saturated fat, 0 cholesterol, 240 sodium, 4 carbs, 1 fiber, 1 protein",https://d1r9wva3zcpswd.cloudfront.net/5948ca832aaf44ba338326e0.jpeg,11110712950,Pizza Sauce,Kroger,"Pizza Sauce, Pizza Parlor Style",46,"Sauces, Gravies, & Marinade",Condiments
200,Ground Beef,6.12669E+11,Laura's Lean Beef,Ground Beef,"160 cal, 9 total fat, 4 saturated fat, 60 cholesterol, 70 sodium, 0 carbs, None fiber, 21 protein",https://d1r9wva3zcpswd.cloudfront.net/5458f0a57ee32aa511144bbe.jpeg,6.12669E+11,Ground Beef,Laura's,Ground Beef,65,Beef & Veal,Meats
