mCode,mTitle,mUPC,mDesc,mBrand,mCurr,mLowest,mHighest,mImages,CurrUPC,ProductName,BrandName,ProductDesc,ProductScore,Subcatecory,Category
0041735045188,NA,NA,NA,NA,NA,NA,NA,NA,041735045188,Pasta,Price Chopper,Small Shells,33,Bread Products,Grains
0072655001251,NA,NA,NA,NA,NA,NA,NA,NA,072655001251,Frozen Entrée,Healthy Choice,Chicken & Vegetable Stir Fry Frozen Entrée,55,Meals & Entrees,Prepared meals
0039153101401,NA,NA,NA,NA,NA,NA,NA,NA,039153101401,Stock,Rachael Ray,"Stock, Chicken",24,Soups & Broths,Prepared meals
0013000797702,NA,NA,NA,NA,NA,NA,NA,NA,013000797702,Gravy,Heinz,Home Style Savory Beef Gravy,14,"Sauces, Gravies, & Marinade",Condiments
000000004470,NA,NA,NA,NA,NA,NA,NA,NA,000000004470,SALAD BAR,,SALAD BAR,100,Fresh,Produce
0012000171741,NA,NA,NA,NA,NA,NA,NA,NA,012000171741,Soda,Pepsi,"Diet Pepsi, Original ",5,Soda,Drinks
0688267027840,NA,NA,NA,NA,NA,NA,NA,NA,688267027840,Pink Beans,Stop & Shop Brand,Pink Beans,46,Beans & Legumes,Legumes and nuts
007343507032,NA,NA,NA,NA,NA,NA,NA,NA,007343507032,Rolls,King's,Original Hawaiian Sweet Dinner Rolls,80,Bread Products,Grains
0036632008664,NA,NA,NA,NA,NA,NA,NA,NA,036632008664,Yogurt,Dannon,Triple Zero Blended Nonfat Greek Chocolate Yogurt,90,Yogurts & Dairy Drinks,Dairy and eggs
0036632011022,NA,NA,NA,NA,NA,NA,NA,NA,036632011022,Yogurt,Oikos,Crunch Vanilla Almond Greek Yogurt,79,Yogurts & Dairy Drinks,Dairy and eggs
0071921561970,NA,NA,NA,NA,NA,NA,NA,NA,071921561970,Pizza,Tombstone,Original Pepperoni & Sausage Pizza,21,Meals & Entrees,Prepared meals
0041735017437,NA,NA,NA,NA,NA,NA,NA,NA,041735017437,Scallops,Pics,Bay Scallops,80,Prepared,Fish and seafood
0052000042276,NA,NA,NA,NA,NA,NA,NA,NA,052000042276,Sports Drink,Gatorade,"Sports Drink, Lemon Lime",45,Sweetened Water,Drinks
0190569123002,NA,NA,NA,NA,NA,NA,NA,NA,190569123002,Veggie Tots,Green Giant,Cauliflower Veggie Tots,75,Appetizers & Sides,Prepared meals
0080000005199,NA,NA,NA,NA,NA,NA,NA,NA,080000005199,Fish,Starkist,Solid White Albacore Tuna in Water,70,Prepared,Fish and seafood
0037600105088,NA,NA,NA,NA,NA,NA,NA,NA,037600105088,Peanut Butter Spread,Skippy,"Peanut Butter Spread, Creamy, with Honey",58,Nut & Seed Butter,Spreads dips
0016571911256,NA,NA,NA,NA,NA,NA,NA,NA,016571911256,Sparkling Water,Sparkling Ice,"Sparkling Water, Lemon Lime",50,Sweetened Water,Drinks
0044000046507,NA,NA,NA,NA,NA,NA,NA,NA,044000046507,Cookies,Fig Newton's,Strawberry Filling Cookies,0,"Cookies, Candy, & Chocolate",Desserts
0812049006246,NA,NA,NA,NA,NA,NA,NA,NA,812049006246,Blueberries,Naturipe,Blueberries,100,Fresh,Produce
0071430010747,NA,NA,NA,NA,NA,NA,NA,NA,071430010747,Salad Kit,Dole,"Salad Kit, Spinach Cherry Almond Bleu",65,Meals & Entrees,Prepared meals
0036632038258,NA,NA,NA,NA,NA,NA,NA,NA,036632038258,Yogurt,Light & Fit,S'Mores Nonfat Greek Yogurt Crunch,64,Yogurts & Dairy Drinks,Dairy and eggs
0077890019122,NA,NA,NA,NA,NA,NA,NA,NA,077890019122,Wegmans Food You Feel Good About Milk,Wegmans,"Milk, Low fat 1% milk",90,Milk & Substitutes,Dairy and eggs
007047049653,NA,NA,NA,NA,NA,NA,NA,NA,007047049653,Yogurt,Oui!,"Yogurt, Blueberry",60,Yogurts & Dairy Drinks,Dairy and eggs
00004671,NA,NA,NA,NA,NA,NA,NA,NA,000000004671,PARSLEY,,PARSLEY,100,Fresh,Produce
0028989100641,NA,NA,NA,NA,NA,NA,NA,NA,028989100641,Burger,Morning Star Farms,Spicy Black Bean Burger,75,Meat Substitutes,Meats
0041268193875,NA,NA,NA,NA,NA,NA,NA,NA,041268193875,Fat Free Milk,Hannaford,Fat Free Milk,90,Milk & Substitutes,Dairy and eggs
